id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
254,Na wyjściu transformatora sieciowego napięcie skuteczne jest równe 300 V. Czy w prostowniku jednopołówkowym można użyć diody wytrzymującej napięcie wsteczne 400 V?,,tak,nie,"tak, ale tylko przy małych obciążeniach",,"<p>Napięcie wsteczne diody musi być większe od maksymalnego napięcia, które może pojawić się na wyjściu transformatora. W przypadku transformatora z napięciem skutecznym równym 300V, maksymalne napięcie wynosi √2 razy napięcie skuteczne, ponieważ jest to napięcie sinusoidalne.</p> <p>Zatem maksymalne napięcie, które może pojawić się na wyjściu transformatora wynosi 300V * √2.</p> <p>Sprawdźmy to teraz.</p> <pre><code class=""language-python"">import math<br /><br />effective_voltage = 300<br />peak_voltage = effective_voltage * math.sqrt(2)<br />peak_voltage </code></pre> <pre><code class=""language-python"">424.26406871192853 </code></pre> <p>Maksymalne napięcie, które może pojawić się na wyjściu transformatora wynosi około 424.26 V.</p> <p>To jest większe od napięcia wstecznego diody, które wynosi 400 V.</p> <p>Zatem odpowiedź to: b. nie, nie możemy użyć diody wytrzymującej napięcie wsteczne 400 V w prostowniku jednopołówkowym z wyjściem transformatora sieciowego o napięciu skutecznym 300 V. Ponieważ maksymalne napięcie, które może się pojawić na wyjściu transformatora jest większe od napięcia wstecznego diody.</p>",gpt-4
255,"Aby tranzystor PNP zaczął przewodzić, należy przyłożyć pomiędzy jego bazę i emiter napięcie:",,dodatnie (wyższy potencjał do bazy),ujemne (niższy potencjał do bazy),zerowe (taki sam potencjał na bazie i emiterze),,"<p>b. ujemne (niższy potencjał do bazy)</p> <p>Ponieważ tranzystor PNP jest typem tranzystora PNP, aby zaczął przewodzić, napięcie na bazie musi być niższe niż na emiterze. Więc mówimy, że skierowaliśmy napięcie ujemne (niższy potencjał) do bazy.</p>",gpt-4
256,Tranzystory bipolarne i polowe sterujemy odpowiednio:,,napięciem i prądem,prądem i prądem,prądem i napięciem,,"<p>Odpowiedź to c. prądem i napięciem.</p> <p>Tranzystory bipolarnego steruje się prądem, który płynie przez baze. Z kolei tranzystory polowe, zarówno JFET-y jak i MOSFET-y, sterujemy napięciem przyłożonym do bramki. Dlatego prawidłową odpowiedzią jest &quot;c. prądem i napięciem&quot;.</p>",gpt-4
257,"We wzmacniaczu tranzystorowym w układzie wspólnej bazy, sygnał wejściowy podajemy pomiędzy:",,kolektor i bazę,emiter i bazę,kolektor i emiter,,"<p>Odpowiedź to b. emiter i bazę.</p> <p>W układzie tranzystorowym o wspólnej bazie, sygnał wejściowy jest podawany pomiędzy emiterem a bazą. Jest to podstawowe działanie takiego układu i dlatego wybrano tę opcję jako prawidłową. W innych układach tranzystorowych poszczególne części tranzystora mogą pełnić inne funkcje, ale w tym konkretnym pytaniu chodzi o układ o wspólnej bazie.</p>",gpt-4
258,W idealnym tranzystorze MOSFET prąd wpływający do bramki jest:,,"mniejszy o tyle razy od prądu drenu, o ile wynosi wzmocnienie tranzystora",równy w przybliżeniu 1 mA,zerowy,,"<p>Odpowiedź c. zerowy.</p> <p>W idealnym tranzystorze MOSFET bramka jest izolowana od kanału przez cienką warstwę tlenku krzemu. To powoduje, że praktycznie nie ma prądu wpływającego do bramki (jest bliski zeru). Wyjątkiem jest mały prąd upływu, który jest jednak zwykle tak mały, że jest pomijany w większości aplikacji.</p>",gpt-4
259,Jaka jest funkcja kondensatora C1 w układzie przedstawionym na rysunku?,A_1_261.png,zwiększenie wzmocnienia dla prądów zmiennych,filtrowanie prądu spoczynkowego,"nie ma żadnej funkcji ",,,
260,"Mamy dwa kondensatory o pojemności 4,7 nF oraz 300 pF. Jak należy je połączyć, by uzyskać pojemność 5000 pF?",,szeregowo,równolegle,nie da się uzyskać pojemności 5000 pF,b,"<p>Pojemność kondensatorów połączonych szeregowo oblicza się ze wzoru:</p> <p>C = 1 / ((1/C1) + (1/C2))</p> <p>Gdzie C1, C2 to pojemności poszczególnych kondensatorów.</p> <p>Pojemność kondensatorów połączonych równolegle oblicza się ze wzoru:</p> <p>C = C1 + C2</p> <p>Należy sprawdzić, która z tych opcji da nam pojemność równą 5000 pF. Przeliczmy jednostki, 1nF = 1000 pF, więc mamy kondensatory o pojemności 4700 pF i 300 pF. Wykorzystajmy powyższe wzory.</p> <pre><code class=""language-python""># pojemności kondensatorów <br />C1 = 4700 # pF <br />C2 = 300 # pF <br /> <br /># Pojemność dla połączenia szeregowego <br />C_series = 1 / ((1/C1) + (1/C2)) <br /> <br /># Pojemność dla połączenia równoległego <br />C_parallel = C1 + C2 <br /> <br />C_series, C_parallel </code></pre> <pre><code class=""language-python"">(282.0, 5000) </code></pre> <p>Pojemność kondensatorów połączonych szeregowo wynosi 282 pF, natomiast połączonych równolegle 5000 pF. Wybieram zatem odpowiedź b) Równolegle. To jest zgodne z naszym celem uzyskania pojemności 5000pF.</p>",gpt-4
261,"W układzie były trzy kondensatory, każdy po 30 μF, połączone szeregowo. Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 μF? Jeśli tak, to o jakim napięciu pracy?",,nie możemy,"możemy, stosując kondensator na napięcie 100 V","możemy, stosując kondensator na napięcie 300 V",c,"<p>Dla kondensatorów połączonych szeregowo, pojemność zastępcza oblicza się za pomocą równania:</p> <p>1/C = 1/C1 + 1/C2 + 1/C3</p> <p>gdzie C1, C2, C3 to pojemności poszczególnych kondensatorów.</p> <p>Natomiast napięcie zastępcze dla kondensatorów połączonych szeregowo to suma napięć poszczególnych kondensatorów. W naszym przypadku mamy trzy kondensatory o tych samych parametrach, więc obliczenia powinny być dość proste. Sprawdźmy to.</p> <pre><code class=""language-python""># define the capacitance and voltage of each capacitor<br />C1 = C2 = C3 = 30e-6  # 30 μF<br />V1 = V2 = V3 = 100  # 100V<br /><br /># calculate total capacitance<br />C_total = 1 / (1/C1 + 1/C2 + 1/C3)<br />C_total<br /><br /># calculate total voltage<br />V_total = V1 + V2 + V3<br />V_total<br /><br />C_total*1e6, V_total </code></pre> <pre><code class=""language-python"">(10.0, 300) </code></pre> <p>Pojemność kondensatora zastępczego wynosi 10 μF, a napięcie pracy wynosi 300 V. Zatem odpowiedzią na pytanie jest opcja c. możemy, stosując kondensator na napięcie 300 V. Wybrałem tę odpowiedź, ponieważ teoretyczne obliczenia pokazują, że szeregowe połączenie trzech kondensatorów o pojemności 30 uF da nam ekwiwalentną pojemność 10 uF, a suma napięć poszczególnych kondensatorów da nam wymagane napięcie pracy 300V.</p>",gpt-4
262,Dwie niezależne cewki mają indukcyjności 30 μH i 60 μH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych cewek?,,90 μH,45 μH,20 μH,,"<p>Dwie cewki połączone szeregowo mają indukcyjność zastępczą równą sumie ich indykcyjności. W tym przypadku, suma indykcyjności 30 μH i 60 μH wynosi 90 μH.</p> <p>Odpowiedź: a. 90 μH</p>",gpt-4
263,"Obwód rezonansowy szeregowy LC, w punkcie rezonansu, przedstawia:",,tylko rezystancję,reaktancję pojemnościową,reaktancję indukcyjną,,"<p>Odpowiedź to a. tylko rezystancję</p> <p>W punkcie rezonansowym, reaktancja pojemnościowa i indukcyjna w obwodzie LC równoważą się. W efekcie, obwód zachowuje się jak czysty rezystor, co oznacza, że wykazuje tylko rezystancję, a żadnej reaktancji.</p>",gpt-4
264,"Jeżeli dobroć obwodu rezonansowego Q = 100, to pasmo przy częstotliwości obwodu 14 MHz ma szerokość:",,280 kHz,14 kHz,140 kHz,c,"<p>Prawidłową odpowiedź można obliczyć, korzystając z wzoru na szczelinę pasmową.</p> <p>Wzór na obliczenie szerokości pasma Δf obwodu rezonansowego to: Δf = f0/Q,</p> <p>gdzie: f0 to częstotliwość rezonansowa, Q to dobroć obwodu rezonansowego.</p> <p>Do tych obliczeń potrzebujemy czestotliwości rezonansowej f0 które wynosi 14 MHz i wartość Q która wynosi 100. Wynik będzie w megahercach (MHz) więc przeliczmy odpowiedzi na taką samą jednostkę: a. 280 kHz = 0.28 MHz, b. 14 kHz = 0.014 MHz, c. 140 kHz = 0.14 MHz. Określmy która odpowiedź jest poprawna.</p> <pre><code class=""language-python"">#Given values<br />Q = 100<br />f0 = 14<br /><br />#Calculation<br />Δf = f0/Q<br />  <br />#Check correct answer<br />a = 0.28<br />b = 0.014<br />c = 0.14 <br /><br />a == Δf, b == Δf, c == Δf, Δf </code></pre> <pre><code class=""language-python"">(False, False, True, 0.14) </code></pre> <p>Prawidłowa odpowiedź na to pytanie to c. 140 kHz. Wybrałem tę odpowiedź, ponieważ po obliczeniu szerokości pasma przy pomocy wzoru Δf = f0/Q i względu na udostępnione dane, wynik wynosi 0.14 MHz. Po przeliczeniu na kHz (x1000), odpowiedź wynosi 140 kHz, co jest równoznaczne z opcją c. Dlatego wybór c. 140 kHz jest prawidłowy.</p>",gpt-4
265,"Skrzynka antenowa w układzie T, gdzie szeregowo włączone są kondensatory, a równolegle cewka, jest:",,filtrem dolnoprzepustowym,filtrem górnoprzepustowym,filtrem pasmowym,,"<p>b. filtrem górnoprzepustowym</p> <p>Skrzynka antenowa, w której szeregowo włączone są kondensatory, a równolegle cewka, tworzy układ, który blokuje sygnały o niskich częstotliwościach, a przepuszcza sygnały o wysokich częstotliwościach. Jest to więc filtr górnoprzepustowy.</p>",gpt-4
266,Zwiększenie rzędu filtru powoduje:,,zwiększenie stromości zbocza,pogorszenie właściwości filtracyjnych,zmianę częstotliwości rezonansowej,,"<p>Odpowiedź: a. zwiększenie stromości zbocza</p> <p>Rząd filtru określa stopień skomplikowania układu filtrującego. Zwiększanie rzędu filtru powoduje występowanie stromiejszych zboczy. Więc jeżeli chcielibyśmy otrzymać filtr o bardzo ostrej charakterystyce (czasami nazywaną &quot;krawędziową&quot;, ze względu na jej wygląd przypominający fizyczną krawędź), potrzebowalibyśmy zastosować filtr o wyższym rzędzie. Inne właściwości filtru, takie jak częstotliwość rezonansowa, nie zależą bezpośrednio od rzędu filtru.</p>",gpt-4
267,Jaka jest funkcja rezystorów R1 i R2 w układzie przedstawionym na rysunku?,A_1_269.png,Zabezpieczenie tranzystora przed uszkodzeniem,Zwiększenie impedancji wejściowej,Ustalenie punktu pracy,,,
268,Która klasa pracy wzmacniacza wprowadza najmniejsze zniekształcenia?,,klasa AB,klasa A,klasa C,,"<p>Odpowiedź b. klasa A</p> <p>Klasa A to klasa wzmacniacza, która zapewnia najmniejsze zniekształcenia. W przypadku wzmacniaczy klasy A, sygnał wejściowy jest zawsze aktywny, co eliminuje zniekształcenia związane z przełączaniem, które mogą wystąpić w innych klasach wzmacniaczy. Dlatego wzmacniacze klasy A są często stosowane tam, gdzie jakość dźwięku jest ważniejsza niż sprawność energetyczna, np. w sprzęcie audio wysokiej klasy.</p>",gpt-4
269,Demodulator FM może być zbudowany z użyciem:,,pojedynczej diody i kondensatora,mieszacza podwójnie zrównoważonego,pętli synchronizacji fazy,,"<p>c. pętli synchronizacji fazy</p> <p>Wybrałem tę odpowiedź, ponieważ pętla synchronizacji fazy (PLL - Phase-Locked Loop) jest często stosowanym elementem w demodulatorach FM. PLL to układ regulacji, który kontroluje częstotliwość sygnału wyjściowego w taki sposób, aby była ona synchroniczna (równa lub wielokrotna) z częstotliwością sygnału wejściowego. W przypadku demodulacji FM, pętla PLL jest używana do utrzymania sygnału wyjściowego w fazie z sygnałem wejściowym, co umożliwia odtworzenie oryginalnego sygnału. Pozostałe dwa rozwiązania nie są zazwyczaj stosowane do budowy demodulatorów FM.</p>",gpt-4
270,Jaki jest cel włączenia szeregowo rezystora i kondensatora pomiędzy wejście i wyjście wzmacniacza mocy z tranzystorem w układzie wspólnego źródła?,,zwiększenie wzmocnienia wzmacniacza.,"utworzenie obwodu rezonansowego, który działa jako filtr pasmowy.",zwiększenie stabilności wzmacniacza.,,"<p>c. zwiększenie stabilności wzmacniacza.</p> <p>Szeregowe włączenie rezystora i kondensatora pomiędzy wejście i wyjście wzmacniacza z tranzystorem w układzie wspólnego źródła służy właśnie do zwiększenia stabilności tego wzmacniacza. Ta technika, znana jako sprzężenie zwrotne, pomaga w kontrolowaniu wzmacniacza i uniemożliwia mu samoczynne oscylacje. Poprzez dodanie ścieżki sprzężenia zwrotnego, sygnał wyjściowy jest &quot;ulkany&quot; do wejścia, co poprawia liniowość wzmacniacza, redukuje zniekształcenia i stabilizuje wzmocnienie wzmacniacza względem zmian w temperaturze, zasilaniu i innych parametrach.</p>",gpt-4
271,Szum fazowy jest wynikiem:,,kluczowania fazy (PSK),krótkich i niewielkich odchyleń częstotliwości generatora,mieszania się sygnałów o różnych fazach,,"<p>Odpowiedź to b. krótkich i niewielkich odchyleń częstotliwości generatora</p> <p>Szum fazowy jest rodzajem zakłócenia, które wynika z drobnych i krótkotrwałych fluktuacji w częstotliwości generatora, co prowadzi do małych zmian fazy w sygnale generowanym przez urządzenie. Nie jest to bezpośrednio związane z kluczowaniem fazy (PSK) ani z mieszaniem się sygnałów o różnych fazach. Kluczowanie fazy polega na zmianie fazy sygnału w celu zakodowania informacji, a mieszanie się sygnałów o różnych fazach może prowadzić do innych rodzajów zakłóceń, ale nie jest to bezpośrednio szum fazowy.</p>",gpt-4
272,Jako dzielnik częstotliwości w pętli synchronizacji fazy można użyć:,,licznik,wzmacniacz operacyjny,dzielnik rezystorowy,,"<p>Odpowiedź a. Licznik</p> <p>Dzielnik częstotliwości w pętli synchronizacji fazy jest układem cyfrowym, który dzieli wejściową częstotliwość przez określony współczynnik. Licznik jest urządzeniem, które można zaprogramować do wykonania tej funkcji. Wzmacniacz operacyjny i dzielnik rezystorowy są zazwyczaj stosowane w układach analogowych, nie w układach cyfrowych do dzielenia częstotliwości.</p>",gpt-4
273,W transceiverach SDR do przetwornika A/C doprowadza się sygnały kwadraturowe (oznaczone jako I oraz Q). Jaki jest tego cel?,,Łatwa realizacja programowej demodulacji dla dowolnej emisji,Minimalizacja zniekształceń sygnału,Możliwość demodulacji sygnałów z dwóch różnych źródeł,a,"<p>Odpowiedź a. Łatwa realizacja programowej demodulacji dla dowolnej emisji</p> <p>Sygnały kwadraturowe I i Q w SDR wykorzystuje się do łatwej realizacji programowej demodulacji dla dowolnej emisji. Sygnały I i Q to dwa sygnały przesunięte fazy o 90 stopni, które umożliwiają pełną reprezentację sygnału złożonego. Takie przetwarzanie sygnału ułatwia demodulację różnych typów sygnałów, takich jak AM, FM, QAM, itd., w oprogramowaniu.</p>",gpt-4
274,Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez:,,użycie przetwornika cyfrowo-analogowego,cyfrowe przestrajanie obwodu rezonansowego,cyfrowe sterowanie układem NE555,System.Object[],"<p>Odpowiedź a. Bezpośrednia synteza cyfrowa (DDS) generuje przebieg przez użycie przetwornika cyfrowo-analogowego.</p> <p>Bezpośrednia synteza cyfrowa, jak sama nazwa wskazuje, odnosi się do metody generowania sygnałów analogowych z cyfrowych. Wykorzystuje to przetwornik cyfrowo-analogowy, który przekształca cyfrowe dane w sygnał analogowy.</p> <p>Opcje b i c nie są prawdziwe, ponieważ nie odnoszą się do bezpośredniej syntezy cyfrowej. Cyfrowe przestrajanie obwodu rezonansowego i cyfrowe sterowanie układem NE555 to różne techniki, które nie są związane z DDS.</p>",gpt-4
275,Odbiornik homodynowy od superheteredynowego odróżnia:,,brak częstotliwości pośredniej (jest równa 0),brak generatora,brak demodulatora,,"<p>Odpowiedź a. brak częstotliwości pośredniej (jest równa 0).</p> <p>W odbiorniku homodynowym (nazywanym też odbiornikiem bezpośredniego przemieniania) sygnał radiowy jest demodulowany bezpośrednio na częstotliwość 0, co oznacza brak tradycyjnej częstotliwości pośredniej, która jest charakterystyczna dla odbiornika superheterodynowego. Oba odbiorniki posiadają generator i demodulator, więc odpowiedzi b i c są nieprawdziwe.</p>",gpt-4
276,Dewiacja sygnału FM opisuje:,,maksymalny odchył od częstotliwości nośnej,szerokość pasma sygnału,maksymalne różnice amplitudy sygnału,,"<p>Odpowiedź a. Dewiacja sygnału FM opisuje maksymalny odchył od częstotliwości nośnej.</p> <p>Dewiacja jest to różnica pomiędzy największą dopuszczalną różnicą częstotliwości sygnału FM a jego częstotliwością nośną. Jest to zasadnicza charakterystyka transmisji FM (Frequency Modulation) i determinuje zarówno jakość odbieranego sygnału, jak i wymagane pasmo przepustowe. Maksymalna dewiacja FM zwykle jest ściśle określona przez regulatora radiokomunikacji, aby zapobiec przekłócaniu innych transmisji w sąsiednich pasmach częstotliwości.</p>",gpt-4
277,Zbyt szybkie narastanie i opadanie sygnału telegraficznego powoduje:,,"zakłócenia określane jako ""kliki""","zwiększenie mocy wyjściowej nadajnika,",zmniejszenie pasma używanego w tej emisji.,,"<p>Odpowiedź to a. Zbyt szybkie narastanie i opadanie sygnału telegraficznego powoduje zakłócenia określane jako &quot;kliki&quot;. Wybieram tę odpowiedź, ponieważ kliki powstają, kiedy zmienność sygnału jest wyższa niż zakłada to projekcja pierwotnego kształtu sygnału. W przypadku sygnałów telegraficznych, które są zasadniczo impulsowe, szybkie narastanie i opadanie sygnału prowadzi do tworzenia dodatkowych, niepożądanych oscylacji (klików). Odpowiedzi b i c są nieprawdziwe: zbyt szybkie narastanie i opadanie sygnału telegraficznego nie ma wpływu na moc wyjściową nadajnika ani pasmo używane w tej emisji.</p>",gpt-4
278,"Antena Yagi-Uda składa się co najmniej z: ",,wibratora i elementu zasilanego pasożytniczo,"pięciu prętów aluminiowych   ",transformatora impedancji,,"<p>Wybieram odpowiedź a. &quot;wibratora i elementu zasilanego pasożytniczo&quot;.</p> <p>Antena Yagi-Uda to popularny projekt anteny kierunkowej, który składa się z dipola (wibratora) i elementu zasilanego pasożytniczo (reflektora i/lub dyrektora). W rzeczywistości, antena Yagi-Uda może mieć tylko dwa elementy (dipol i reflektor) i nadal efektywnie działać.</p> <p>Odpowiedzi b i c nie są poprawne, ponieważ:</p> <p>b. liczba prętów aluminiowych nie określa typu anteny. Materiał prętów nie musi być aluminiowy, a antena Yagi-Uda może składać się z dwóch lub więcej elementów.</p> <p>c. antena Yagi-Uda nie wymaga transformatora impedancji do działania. Transformator impedancji jest zazwyczaj używany do dopasowania impedancji między źródłem sygnału a anteną, ale różne typy anten używają różnych typów transformatorów do osiągnięcia tego dopasowania.</p>",gpt-4
279,"Jeśli SWR w punkcie zasilania jest równy 1:1 to oznacza, że:",,osiągnięto bardzo dobre dopasowanie linii zasilającej do nadajnika,antena jest zawsze najlepiej dopasowana,antena może pracować na kilku pasmach,a,"<p>Wybrałbym odpowiedź a. &quot;osiągnięto bardzo dobre dopasowanie linii zasilającej do nadajnika&quot;.</p> <p>SWR (Standing Wave Ratio) to stosunek maksymalnej do minimalnej amplitudy na linii zasilającej w systemie transmisji sygnału radiowego. Kiedy SWR wynosi 1:1, oznacza to, że nie ma stojących fal na linii, co jest sytuacją idealną, w której cała moc z nadajnika jest przekazywana do anteny. Nie mówi to jednak nic o optymalnym dopasowaniu anteny, ani nie gwarantuje, że antena będzie mogła pracować na kilku pasmach.</p>",gpt-4
280,"Gdy antena jest w rezonansie, to:",,moduł impedancji jest równy 50 Ω,reaktancja jest równa 0 Ω,reaktancja jest nieskończenie duża,,"<p>Odpowiedź to b. reaktancja jest równa 0 Ω</p> <p>Reaktancja anteny w rezonansie wynosi 0 Ohm, co oznacza, że antena jest całkowicie dostosowana do fal o danej częstotliwości. W rezonansie, antena potrafiją zaabsorbować jak najwięcej mocy z nadajnika i przekazywać jej jak najwięcej do otoczenia. Im bliżej reaktancji równej 0, tym lepsze jest dostosowanie anteny.</p>",gpt-4
281,Dipol półfalowy na pasmo 80 m prezentuje na paśmie 40 m,,niską impedancję,bardzo wysoką impedancję,zwarcie,,"<p>Wybieram odpowiedź b. &quot;bardzo wysoką impedancję&quot;.</p> <p>Dipol półfalowy jest szczególnie skuteczny (rezonansowy) na swoim pierwotnym paśmie, w tym przypadku 80m. Kiedy jednak użyjemy go na paśmie, które jest połową jego nominalnej długości (40m), to zaczynamy go używać jako dipol pełnofalowy. W takiej sytuacji, dipol prezentuje bardzo wysokie impedancje, co może być trudne do zaadaptowania dla większości urządzeń nadawczych.</p>",gpt-4
282,Dipol półfalowy na pasmo 40m można użyć na paśmie:,,7 i 21 MHz,"3,5 i 5 MHz",7 i 28 MHz,,"<p>Odpowiedź wynika z naszej wiedzy na temat resonansu i zasad działania dipola półfalowego.</p> <p>Dipol półfalowy jest najprostszym rodzajem anteny i jest najczęściej używany w radiokomunikacji. Jego długość wynosi połowę długości fali, na której ma pracować. Rozgłaszanie i odbiór sygnałów są najefektywniejsze, gdy antena ma dokładnie połowę długości fali sygnału, który ma nadawać lub odbierać.</p> <p>Długość fali λ dla 7 MHz (pasmo 40m) wynosi około 40 metrów (dlatego &quot;Pasmo 40m&quot;). Długość dipola półfalowego dla tego pasma wynosi więc 20m.</p> <p>Dipol półfalowy który wykorzystuje skok harmońszy, będzie działał również efektywnie na częstotliwościach będących całkowitymi wielokrotnościami częstotliwości podstawowej.</p> <p>Więc jeżeli mamy dipol półfalowy na 7 MHz - to będzie on również efektywny na 3x7 MHz = 21 MHz.</p> <p>Zatem prawidłowa odpowiedź to: a. 7 i 21 MHz</p>",gpt-4
283,"W antenie Yagi-Uda rolę wibratora pełni ",,"odcinek o długości 1/4 fali ",dipol półfalowy,rezonator całofalowy,,"<p>b. dipol półfalowy</p> <p>W antenie Yagi-Uda, wibrator, jest to element który odbiera i nadaje fale radiowe. W tej antenie jest to właśnie dipol półfalowy, który jest odpowiedzialny za ten proces. Opcje a i c nie są prawidłowe, ponieważ odcinek o długości 1/4 fali i rezonator całofalowy nie pełnią roli wibratora w tej antenie.</p>",gpt-4
284,"Antena Yagi-Uda z wibratorem skierowanym równolegle do ziemi będzie miała polaryzację ",,"poziomą ","pionową ",lewoskrętną na półkuli południowej i prawoskrętną na północnej,,"<p>Odpowiedź a. poziomą</p> <p>Polaryzacja anteny jest określana na podstawie kierunku, w którym antena wibruje. W tym przypadku, skoro wibrator anteny Yagi-Uda jest skierowany równolegle do ziemi, to wibruje on w płaszczyźnie poziomej, co oznacza, że antena będzie miała polaryzację poziomą. Odpowiedzi b i c nie są prawidłowe, ponieważ wibrator nie jest skierowany ani pionowo, ani nie jest określony kierunek obrotu.</p>",gpt-4
285,Amatorskie radiolatarnie w paśmie 144 MHz pracują w polaryzacji poziomej. Czy można sygnał takiej radiolatarni odbierać anteną o polaryzacji pionowej?,,"tak, nie ma przeciwwskazań ","tak choć sygnał będzie znacznie słabszy niż przy zgodnej polaryzacji ","nie, może to spowodować uszkodzenie odbiornika lub anteny.",b,"<p>b. tak choć sygnał będzie znacznie słabszy niż przy zgodnej polaryzacji</p> <p>Wybrałem tę odpowiedź, ponieważ polaryzacja anten ma znaczący wpływ na jakość odbieranego sygnału. Jeśli antena nadawcza pracuje w polaryzacji poziomej, a antena odbiorcza w polaryzacji pionowej (lub na odwrót), sygnał może być znacznie słabszy. To jest związane z tym, że fale elektromagnetyczne są najlepiej odbierane przez antenę, która jest zorientowana w taki sam sposób jak fala. Chociaż to nie uniemożliwia odbioru sygnału, może znacząco go osłabić. Jednak nie powinno to spowodować uszkodzenia odbiornika lub anteny.</p>",gpt-4
286,Zysk anteny wyrażony jest w dBi. Względem jakiego źródła jest określony?,,Dipola półfalowego,Anteny izotropowej,Anteny pionowej ćwierćfalowej,b,"<p>Odpowiedź b. Anteny izotropowej.</p> <p>Zysk anteny wyrażony w dBi odnosi się do anteny izotropowej, która jest teoretycznym źródłem punktowym promieniującym jednolicie we wszystkich kierunkach. Oznacza to, że zysk dBi jest zdefiniowany względem tej hipotetycznej anteny, która nie miałaby strat i promieniowałaby równomiernie we wszystkich kierunkach.</p>",gpt-4
287,"Antena kierunkowa w kierunku wiązki głównej wytwarza pole EM o natężeniu 4 razy większym, niż dipol półfalowy zawieszony w tym samym miejscu. Jaki zysk ma antena?",,6 dBd,4 dBd,12 dBd,a,"<p>Zysk anteny jest wyrażany w decybelach (dB) i opisuje, jak mocno antena koncentruje energię w jednym kierunku w porównaniu do anteny referencyjnej (w tym przypadku dipola półfalowego).</p> <p>Zysk w dB jest wyrażony za pomocą równania:</p> <pre><code>G(dB) = 10 * log10(P1 / P0) </code></pre> <p>gdzie: P1 - moc wyjściowa anteny kierunkowej; P0 - moc wyjściowa anteny referencyjnej.</p> <p>W tym wypadku, P1 jest 4 razy większa od P0. Wstawiając te wartości do równania, można obliczyć zysk anteny.</p> <pre><code class=""language-python"">import math<br /><br /># Power of the directional antenna<br />P1 = 4<br /><br /># Power of the reference antenna (half-wave dipole)<br />P0 = 1<br /><br /># Gain of the antenna<br />G = 10 * math.log10(P1 / P0)<br />G </code></pre> <pre><code class=""language-python"">6.020599913279624 </code></pre> <p>Obliczony wynik wynosi około 6.02 dB. Biorąc pod uwagę dostępne odpowiedzi w pytaniu, wynik ten najbliżej odpowiada wartości 6 dBd. Dlatego odpowiedź a. 6 dBd jest najbardziej pasującym wyborem.</p> <p>Taki wynik sugeruje, że antena kierunkowa generuje pole elektromagnetyczne o intensywności 4 razy większej od dipola półfalowego, co przekłada się na zysk wynoszący około 6 decybeli.</p>",gpt-4
288,"Na paśmie 5 MHz w Polsce można nadawać maksymalną mocą 15 W EIRP, a zatem do dipola na to pasmo można doprowadzić moc około:",,5 W,15 W,"100 W, gdyż dipol ma ujemny zysk EIRP",,"<p>Wybieram odpowiedź b. 15 W</p> <p>Choć dipol ma ujemny zysk EIRP, oznacza to, że jego efektywny promieniowity względem izotropu jest mniejszy, ale to nie wpływa na moc, którą można do niego doprowadzić. Maksymalna moc EIRP obejmuje efekty względem anteny izotropowej, więc jeśli doprowadzimy moc 15 W do dipola, to biorąc pod uwagę jego ujemny zysk EIRP, nasza efektywna moc radiowana będzie zgodna z ograniczeniami - nie przekroczy 15 W EIRP. Dlatego moc, którą można doprowadzić do dipola na pasmo 5 MHz wynosi 15 W.</p>",gpt-4
289,"Moc EIRP to moc  równoważna wyznaczana względem:  ",,dipola półfalowego,źródła izotropowego,anteny rezerwowej,,"<p>b. źródła izotropowego</p> <p>Moc EIRP (Effective Isotropic Radiated Power, efektywna moc izotropowo promieniowana) to pojęcie używane w radiokomunikacji. Oznacza moc, jaka byłaby wymagana od hipotetycznego źródła izotropowego (promieniującego równomiernie we wszystkich kierunkach), aby osiągnąć ten sam poziom sygnału na daną odległość i kierunek, co rzeczywiste urządzenie. Jest to więc moc 'równoważna', którą porównuje się do źródła izotropowego, a nie do dipola półfalowego czy anteny rezerwowej.</p>",gpt-4
290,"Odbiornik został uszkodzony przez silny sygnał z anteny, pochodzący z pracującego w bezpośredniej bliskości nadajnika dużej mocy. Przyczyną uszkodzenia mogło być:",,wyindukowanie silnego sygnału w.cz. w antenie odbiorczej,złe dostrojenie nadajnika,przeniesienie sygnału w.cz. po kablu zasilającym przez złe zasilanie odbiornika,,,
291,Mamy antenę kierunkową A o zysku 3 dBi i antenę kierunkową B o zysku 6 dBi. Do każdej z nich podano sygnał o mocy 100 W. Ile całkowitej mocy wypromieniowała każda antena?,,"A - 100 W, B - 100 W","A - 200 W, B - 400 W","A - 100 W, B - 200 W",a,"<p>Wybrałem odpowiedź a. Zysk anteny, mierzony w decybelach (dBi), odnosi się do jej skupienia mocy radiowej w kierunku jej maksymalnego promieniowania. Nie oznacza to jednak zwiększenia całkowitej mocy anteny. Widać to na przykładzie, gdzie zarówno antena A jak i B wypromieniowują tą samą moc wejściową, 100 W, niezależnie od ich zysków.</p>",gpt-4
